zipcode,busFormed,population,children,homeprice
80202,956,10148,224,387
80111,918,28948,7073,420
80134,786,55075,16510,322
80112,738,29217,6369,288
80302,649,26941,2311,550
80206,615,21521,2363,426
80210,614,33946,4842,393
80525,587,48419,9700,254
80015,576,62432,17518,238
80401,551,39378,6496,340
80301,538,22555,4021,352
80016,521,41219,11811,363
80013,513,69588,17485,194
80209,513,21526,2499,457
80205,506,29221,4812,257
80211,489,31583,4972,315
80014,487,36710,6061,164
80127,470,42597,10780,296
80524,459,31668,6090,250
80020,448,46871,11258,245
80222,448,20073,3159,249
80027,441,31034,9759,376
80504,436,46876,12611,253
80537,435,38821,8041,216
80304,431,25623,5134,599
80501,429,39521,8622,203
80123,421,44795,8963,255
80126,419,39698,12331,345
80538,411,43930,9472,222
80906,408,37719,7418,289
81503,99,15250,3393,191
81005,96,29975,5972,133
81224,96,3446,705,485
80621,95,12079,2844,171
81657,95,5581,566,843
80603,94,11973,3065,198
81321,93,14459,3101,147
81631,92,8215,2339,485
80421,89,8042,1613,231
80443,89,3676,484,261
80018,88,9206,2685,249
80640,88,11054,3361,205
81001,88,30498,6370,90
80829,86,5476,838,271
80817,84,27311,8343,187
80435,83,7278,1326,336
80540,82,4461,831,341
81625,82,12921,3227,144
80116,81,3942,750,455
80135,80,3833,639,393
80517,79,9313,1337,335
81403,77,10534,2196,187
80235,76,7571,1403,192
81003,74,14939,2727,81
81637,74,7721,2219,371
81416,73,13874,3115,154
80751,72,18857,3208,108
80236,71,16123,3349,213
80549,70,8642,2362,211
80701,70,16042,4163,118
80101,9,392,87,209
80444,9,1080,144,184
80451,9,753,184,166
80480,9,1300,245,140
80623,9,1028,264,118
80650,9,1432,316,184
81025,9,1071,196,92
81152,9,1434,215,118
81648,9,2808,601,122
80025,8,253,37,354
80488,8,157,20,414
80510,8,420,40,231
80860,8,594,76,82
80926,8,1403,302,338
81047,8,1559,345,45
81063,8,2726,384,42
81133,8,840,128,118
81151,8,1470,421,118
80436,7,565,99,212
80611,7,659,166,225
80612,7,430,79,275
80737,7,1537,270,43
80928,7,1202,284,139
81092,7,865,222,63
81140,7,2341,639,118
81143,7,672,131,140
81155,7,225,24,118
80432,6,439,45,179
80476,6,194,24,142
80483,6,585,141,191
